exam_center,CENTRE CATEGORY,CENTRE POSITION IN ITS CATEGORY(NATIONWISE),CENTRE POSITION IN ITS CATEGORY(REGIONWISE),EXAMINATION CENTRE GPA,EXAMINATION CENTRE REGION,TOTAL PASSED CANDIDATES,REGIST,ABSENT,SAT,WITHHELD,NO-CA,CLEAN,DIV I,DIV II,DIV III,DIV IV,DIV 0
S4405 ST AMEDEUS,CENTRE WITH 40 CANDIDATES OR MORE,88/3488,11/270,2.1781,KILIMANJARO,112,112,0,112,0,0,112,45,59,8,0,0
S4406 ZIWA NGOSI,CENTRE WITH 40 CANDIDATES OR MORE,2404/3488,147/174,4.1904,MBEYA,36,52,2,50,0,0,50,1,2,6,27,14
S4408 KASSA CHARITY,CENTRE WITH 40 CANDIDATES OR MORE,376/3488,28/241,3.1561,MWANZA,79,80,1,79,0,0,79,3,25,32,19,0
S4409 BUNYAGONGO,CENTRE WITH 40 CANDIDATES OR MORE,1843/3488,109/200,4.0725,KAGERA,48,53,0,53,0,0,53,1,1,9,37,5
S4410 KILOLENI,CENTRE WITH LESS THAN 40 CANDIDATES,535/1371,38/75,3.9162,TABORA,17,19,0,19,0,0,19,1,2,1,13,2
S4411 KHATAMUL ANBIYAA BOYS SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,454/1371,24/45,3.8519,ARUSHA,18,18,0,18,0,0,18,0,1,5,12,0
S4412 IKOMWA,CENTRE WITH LESS THAN 40 CANDIDATES,924/1371,62/75,4.1818,TABORA,4,6,0,6,0,0,6,0,1,0,3,2
S4413 MANGHWETA,CENTRE WITH 40 CANDIDATES OR MORE,2315/3488,65/117,4.1717,DODOMA,42,52,2,50,0,0,50,0,2,5,35,8
S4414 INCHAGE,CENTRE WITH 40 CANDIDATES OR MORE,2272/3488,93/157,4.1608,MARA,26,40,2,38,0,0,38,0,3,6,17,12
S4415 RUGENGE,CENTRE WITH LESS THAN 40 CANDIDATES,917/1371,44/58,4.1790,KIGOMA,20,27,0,27,0,0,27,0,1,5,14,7
S4416 MIZENGO PINDA,CENTRE WITH 40 CANDIDATES OR MORE,483/3488,1/29,3.3284,KATAVI,45,49,4,45,0,0,45,1,12,15,17,0
S4417 VIANZI,CENTRE WITH 40 CANDIDATES OR MORE,2822/3488,79/115,4.2864,PWANI,78,113,1,112,0,0,112,0,3,13,62,34
S4418 ROYAL INTERNATIONAL SCHOOL,CENTRE WITH LESS THAN 40 CANDIDATES,1115/1371,19/23,4.3031,MJINI MAGHARIBI,7,15,1,14,0,0,14,0,1,3,3,7
S4420 RUVU REMIT,CENTRE WITH LESS THAN 40 CANDIDATES,1320/1371,52/52,4.5443,MANYARA,11,24,3,21,0,0,21,0,0,0,11,10
S4421 NDOBO,CENTRE WITH 40 CANDIDATES OR MORE,1888/3488,125/174,4.0814,MBEYA,72,92,2,90,0,0,90,1,7,7,57,18
S4422 MABONDE,CENTRE WITH LESS THAN 40 CANDIDATES,226/1371,8/75,3.5136,TABORA,6,8,2,6,0,0,6,0,0,4,2,0
S4423 ST. FRANCIS XAVIER,CENTRE WITH 40 CANDIDATES OR MORE,97/3488,4/113,2.2576,KIGOMA,90,90,0,90,0,0,90,33,48,9,0,0
S4424 BUTENGORUMASA,CENTRE WITH 40 CANDIDATES OR MORE,1668/3488,53/95,4.0312,GEITA,30,41,0,41,0,0,41,3,2,6,19,11
S4425 MWAUKOLI,CENTRE WITH LESS THAN 40 CANDIDATES,339/1371,39/81,3.7213,SIMIYU,30,36,2,34,0,0,34,1,7,5,17,4
S4427 NYAMAZUGO,CENTRE WITH LESS THAN 40 CANDIDATES,736/1371,16/21,4.0534,MWANZA,18,27,5,22,0,0,22,0,2,3,13,4
S4428 MWABALUHI,CENTRE WITH 40 CANDIDATES OR MORE,1890/3488,136/241,4.0817,MWANZA,129,175,3,172,0,0,172,0,15,24,90,43
S4429 LUSIKWI,CENTRE WITH 40 CANDIDATES OR MORE,2519/3488,192/241,4.2167,MWANZA,32,52,2,50,0,0,50,1,2,7,22,18
S4430 LUSHAMBA,CENTRE WITH 40 CANDIDATES OR MORE,2454/3488,187/241,4.1994,MWANZA,49,68,3,65,0,0,65,0,4,5,40,16
S4431 KATWE,CENTRE WITH 40 CANDIDATES OR MORE,3279/3488,236/241,4.4396,MWANZA,38,72,2,70,0,0,70,0,1,4,33,32
S4432 BITOTO,CENTRE WITH 40 CANDIDATES OR MORE,876/3488,58/241,3.7674,MWANZA,28,40,8,32,0,0,32,0,4,11,13,4
S4433 KIDETE DAY,CENTRE WITH LESS THAN 40 CANDIDATES,174/1371,13/76,3.3810,MOROGORO,13,13,0,13,0,0,13,1,1,6,5,0
S4434 VIDUNDA,CENTRE WITH LESS THAN 40 CANDIDATES,766/1371,40/76,4.0729,MOROGORO,8,14,2,12,0,0,12,0,1,2,5,4
S4435 LUMBIJI,CENTRE WITH LESS THAN 40 CANDIDATES,953/1371,49/76,4.1964,MOROGORO,9,13,1,12,0,0,12,0,1,0,8,3
S4436 DENDEGO,CENTRE WITH 40 CANDIDATES OR MORE,2253/3488,94/159,4.1563,MOROGORO,35,48,4,44,0,0,44,1,2,3,29,9
S4437 NJUNGWA,CENTRE WITH LESS THAN 40 CANDIDATES,964/1371,50/76,4.2037,MOROGORO,7,10,0,10,0,0,10,0,1,1,5,3
S4438 MKULO DAY,CENTRE WITH LESS THAN 40 CANDIDATES,792/1371,43/76,4.0956,MOROGORO,22,27,2,25,0,0,25,1,1,3,17,3
S4439 KIABAKARI,CENTRE WITH 40 CANDIDATES OR MORE,1718/3488,63/157,4.0418,MARA,84,117,4,113,0,0,113,1,10,17,56,29
S4440 RUSOLI,CENTRE WITH LESS THAN 40 CANDIDATES,1150/1371,34/36,4.3281,MARA,21,33,0,33,0,0,33,0,2,1,18,12
S4441 LAKITATU,CENTRE WITH 40 CANDIDATES OR MORE,1872/3488,116/173,4.0771,ARUSHA,41,54,0,54,0,0,54,0,3,11,27,13
S4442 HAMBALAWEI,CENTRE WITH LESS THAN 40 CANDIDATES,528/1371,14/92,3.9132,TANGA,21,21,0,21,0,0,21,0,1,5,15,0
S4443 LYAMBAMGONGO,CENTRE WITH 40 CANDIDATES OR MORE,724/3488,11/95,3.6654,GEITA,42,44,0,44,0,0,44,2,8,8,24,2
S4444 USHETU,CENTRE WITH 40 CANDIDATES OR MORE,1381/3488,54/108,3.9616,SHINYANGA,30,41,1,40,0,0,40,1,4,7,18,10
S4445 SENGEREMA ISLAMIC,CENTRE WITH 40 CANDIDATES OR MORE,331/3488,25/241,3.0628,MWANZA,97,99,2,97,0,0,97,5,32,46,14,0
S4446 LUTHER GIRLS,CENTRE WITH LESS THAN 40 CANDIDATES,152/1371,6/47,3.3314,PWANI,25,25,0,25,0,0,25,1,5,9,10,0
S4447 ISALE,CENTRE WITH LESS THAN 40 CANDIDATES,394/1371,15/39,3.7939,RUKWA,31,35,3,32,0,0,32,0,2,8,21,1
S4448 SIKIRARI,CENTRE WITH 40 CANDIDATES OR MORE,1613/3488,128/270,4.0223,KILIMANJARO,34,41,2,39,0,0,39,0,2,6,26,5
S4452 NYANSURURA,CENTRE WITH 40 CANDIDATES OR MORE,1108/3488,31/157,3.8686,MARA,44,61,6,55,0,0,55,0,6,18,20,11
S4453 MACHIMBONI,CENTRE WITH 40 CANDIDATES OR MORE,1784/3488,17/29,4.0585,KATAVI,46,59,1,58,0,0,58,2,3,6,35,12
S4454 NANKANGA,CENTRE WITH LESS THAN 40 CANDIDATES,308/1371,9/39,3.6833,RUKWA,24,24,0,24,0,0,24,0,4,6,14,0
S4455 RUSABA,CENTRE WITH LESS THAN 40 CANDIDATES,823/1371,39/58,4.1181,KIGOMA,14,18,0,18,0,0,18,0,1,3,10,4
S4456 GREEN BIRD HIGH SCHOOL,CENTRE WITH 40 CANDIDATES OR MORE,588/3488,64/270,3.4893,KILIMANJARO,49,50,0,50,0,0,50,2,8,14,25,1
S4457 KALEMBE,CENTRE WITH LESS THAN 40 CANDIDATES,501/1371,18/39,3.8961,RUKWA,24,26,1,25,0,0,25,0,3,3,18,1
S4459 JUDE,CENTRE WITH 40 CANDIDATES OR MORE,63/3488,4/173,2.0774,ARUSHA,148,151,0,151,3,0,148,78,57,13,0,0
S4460 MPANDAPANDA,CENTRE WITH 40 CANDIDATES OR MORE,1738/3488,116/174,4.0467,MBEYA,77,98,4,94,0,0,94,0,9,14,54,17
S4461 KWEKANGA,CENTRE WITH LESS THAN 40 CANDIDATES,769/1371,22/92,4.0744,TANGA,28,32,0,32,0,0,32,0,1,6,21,4
S4462 SONI ISLAMIC SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,290/3488,13/188,2.9753,TANGA,98,98,0,98,0,0,98,7,40,34,17,0
S4463 LAKE SAGARA,CENTRE WITH LESS THAN 40 CANDIDATES,357/1371,16/58,3.7517,KIGOMA,31,32,0,32,0,0,32,1,2,9,19,1
S4465 QUEEN MARY'S,CENTRE WITH LESS THAN 40 CANDIDATES,655/1371,32/76,4.0007,MOROGORO,29,31,0,31,0,0,31,0,1,6,22,2
S4466 D'ALZON GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,242/3488,15/173,2.7958,ARUSHA,55,55,0,55,0,0,55,8,24,19,4,0
S4467 ST. JOSEPH SOGA BOYS,CENTRE WITH 40 CANDIDATES OR MORE,316/3488,17/159,3.0364,MOROGORO,62,62,0,62,0,0,62,4,21,27,10,0
S4468 HAMPANGALA,CENTRE WITH 40 CANDIDATES OR MORE,2820/3488,58/70,4.2863,SONGWE,31,68,5,63,0,0,63,0,6,10,15,32
S4469 NYWELO,CENTRE WITH LESS THAN 40 CANDIDATES,1016/1371,47/92,4.2336,TANGA,13,13,0,13,0,0,13,0,0,0,13,0
S4470 MASHETE,CENTRE WITH 40 CANDIDATES OR MORE,1377/3488,22/51,3.9600,RUKWA,31,40,3,37,0,0,37,1,4,3,23,6
S4471 KIBWEHERI,CENTRE WITH 40 CANDIDATES OR MORE,2020/3488,130/239,4.1078,DAR ES SALAAM,37,48,0,48,0,0,48,1,3,5,28,11
S4472 GOD'S BRIDGE,CENTRE WITH 40 CANDIDATES OR MORE,184/3488,8/174,2.6172,MBEYA,125,126,1,125,0,0,125,22,69,28,6,0
S4473 USUNGA,CENTRE WITH LESS THAN 40 CANDIDATES,699/1371,53/75,4.0305,TABORA,28,32,1,31,0,0,31,0,3,3,22,3
S4474 TANGA DON BOSCO TECHNICAL SCHOOL,CENTRE WITH 40 CANDIDATES OR MORE,256/3488,11/188,2.8506,TANGA,88,90,1,89,0,0,89,15,29,33,11,1
S4475 IHONGOLE,CENTRE WITH 40 CANDIDATES OR MORE,2001/3488,82/130,4.1038,IRINGA,75,106,4,102,0,0,102,0,7,18,50,27
S4476 SSP HIGH,CENTRE WITH 40 CANDIDATES OR MORE,1709/3488,24/57,4.0396,MJINI MAGHARIBI,48,54,0,54,0,0,54,0,1,11,36,6
S4477 MILENIA,CENTRE WITH LESS THAN 40 CANDIDATES,588/1371,26/39,3.9482,RUKWA,26,31,2,29,0,0,29,0,2,4,20,3
S4478 MADUMA,CENTRE WITH 40 CANDIDATES OR MORE,3001/3488,124/130,4.3326,IRINGA,41,60,1,59,0,0,59,0,0,5,36,18
S4479 ST.ANN'S,CENTRE WITH 40 CANDIDATES OR MORE,244/3488,33/239,2.8020,DAR ES SALAAM,49,49,0,49,0,0,49,8,21,17,3,0
S4480 MBURAHATI,CENTRE WITH 40 CANDIDATES OR MORE,3035/3488,204/239,4.3482,DAR ES SALAAM,121,197,4,193,0,0,193,1,3,12,105,72
S4481 MLABANI,CENTRE WITH 40 CANDIDATES OR MORE,2444/3488,99/159,4.1980,MOROGORO,88,119,1,118,0,0,118,0,9,9,70,30
S4482 KINGALU,CENTRE WITH 40 CANDIDATES OR MORE,1770/3488,71/159,4.0537,MOROGORO,58,75,0,75,0,0,75,0,6,12,40,17
S4484 TANNER,CENTRE WITH LESS THAN 40 CANDIDATES,286/1371,4/94,3.6530,DODOMA,19,20,0,20,0,0,20,0,2,9,8,1
S4485 MIGEZI,CENTRE WITH 40 CANDIDATES OR MORE,846/3488,38/113,3.7511,KIGOMA,59,62,0,62,0,0,62,2,7,11,39,3
S4486 MALIMBE,CENTRE WITH 40 CANDIDATES OR MORE,1142/3488,78/241,3.8794,MWANZA,36,48,0,48,6,0,42,0,3,11,22,6
S4487 IKOWA,CENTRE WITH LESS THAN 40 CANDIDATES,349/1371,7/94,3.7348,DODOMA,8,9,1,8,0,0,8,0,0,4,4,0
S4488 LUTEBA,CENTRE WITH 40 CANDIDATES OR MORE,1925/3488,127/174,4.0890,MBEYA,49,58,4,54,0,0,54,0,0,9,40,5
S4489 NYABISINDU,CENTRE WITH LESS THAN 40 CANDIDATES,1083/1371,37/41,4.2830,KAGERA,25,36,0,36,0,0,36,0,0,5,20,11
S4490 MBEZA,CENTRE WITH 40 CANDIDATES OR MORE,705/3488,20/157,3.6487,MARA,46,47,1,46,0,0,46,0,5,17,24,0
S4491 KITEFU,CENTRE WITH 40 CANDIDATES OR MORE,2172/3488,131/173,4.1396,ARUSHA,41,52,0,52,0,0,52,0,2,5,34,11
S4492 NICODEMUS,CENTRE WITH LESS THAN 40 CANDIDATES,151/1371,5/58,3.3308,KIGOMA,22,22,0,22,0,0,22,2,4,7,9,0
S4493 RELINI,CENTRE WITH 40 CANDIDATES OR MORE,2428/3488,161/239,4.1952,DAR ES SALAAM,174,257,1,256,0,0,256,0,15,35,124,82
S4494 MTAZAMO,CENTRE WITH LESS THAN 40 CANDIDATES,222/1371,8/74,3.5050,RUVUMA,30,31,1,30,0,0,30,1,7,9,13,0
S4495 MALINDINDO,CENTRE WITH LESS THAN 40 CANDIDATES,136/1371,4/74,3.2917,RUVUMA,36,37,1,36,0,0,36,1,8,20,7,0
S4497 MAKONGO JUU,CENTRE WITH 40 CANDIDATES OR MORE,1577/3488,112/239,4.0135,DAR ES SALAAM,160,206,2,204,0,0,204,3,18,27,112,44
S4498 HANIHANI,CENTRE WITH 40 CANDIDATES OR MORE,938/3488,32/98,3.7984,TABORA,104,122,2,120,0,0,120,3,18,19,64,16
S4499 MARETADU JUU,CENTRE WITH 40 CANDIDATES OR MORE,2056/3488,87/98,4.1155,MANYARA,60,86,5,81,0,0,81,0,6,15,39,21
S4502 AFRICAN TABATA,CENTRE WITH 40 CANDIDATES OR MORE,397/3488,47/239,3.1861,DAR ES SALAAM,41,41,0,41,0,0,41,1,15,15,10,0
S4503 MAPATANO,CENTRE WITH 40 CANDIDATES OR MORE,2204/3488,84/188,4.1455,TANGA,35,50,2,48,0,0,48,0,4,6,25,13
S4504 EDEN,CENTRE WITH 40 CANDIDATES OR MORE,564/3488,44/241,3.4524,MWANZA,44,46,1,45,0,0,45,0,8,21,15,1
S4505 STONE TOWN,CENTRE WITH LESS THAN 40 CANDIDATES,39/1371,1/23,2.7457,MJINI MAGHARIBI,10,11,1,10,0,0,10,2,4,3,1,0
S4506 MAKURUMLA,CENTRE WITH 40 CANDIDATES OR MORE,3202/3488,220/239,4.4036,DAR ES SALAAM,170,291,2,289,0,0,289,1,6,12,151,119
S4507 HAYDARER,CENTRE WITH 40 CANDIDATES OR MORE,1466/3488,63/98,3.9860,MANYARA,34,43,0,43,0,0,43,0,6,9,19,9
S4508 KALA,CENTRE WITH 40 CANDIDATES OR MORE,1859/3488,32/51,4.0747,RUKWA,27,40,2,38,0,0,38,0,4,6,17,11
S4509 DR. WILBROAD SLAA,CENTRE WITH 40 CANDIDATES OR MORE,1987/3488,122/173,4.1001,ARUSHA,35,46,0,46,0,0,46,0,5,4,26,11
S4510 ILOGOMBE,CENTRE WITH LESS THAN 40 CANDIDATES,269/1371,15/32,3.6181,IRINGA,24,25,1,24,0,0,24,1,2,10,11,0
S4511 WENA,CENTRE WITH LESS THAN 40 CANDIDATES,1049/1371,49/92,4.2567,TANGA,30,38,0,38,0,0,38,0,0,3,27,8
S4513 KASANGA,CENTRE WITH LESS THAN 40 CANDIDATES,503/1371,19/39,3.8967,RUKWA,23,27,1,26,0,0,26,0,4,5,14,3
S4514 ORKEESWA,CENTRE WITH LESS THAN 40 CANDIDATES,36/1371,3/45,2.7160,ARUSHA,27,27,0,27,0,0,27,3,15,7,2,0
S4515 ST ACHILLEUS KIWANUKA KIJWIRE,CENTRE WITH 40 CANDIDATES OR MORE,230/3488,12/200,2.7687,KAGERA,64,64,0,64,0,0,64,10,27,20,7,0
S4516 ST. JAMES KIGOMA,CENTRE WITH 40 CANDIDATES OR MORE,382/3488,15/113,3.1670,KIGOMA,99,99,0,99,0,0,99,5,27,45,22,0
S4517 MLANG'A,CENTRE WITH 40 CANDIDATES OR MORE,684/3488,71/270,3.6212,KILIMANJARO,112,122,4,118,0,0,118,2,13,50,47,6
S4518 HIGHVIEW,CENTRE WITH 40 CANDIDATES OR MORE,718/3488,77/239,3.6586,DAR ES SALAAM,126,135,0,135,0,0,135,3,20,34,69,9
S4519 TUTUO,CENTRE WITH 40 CANDIDATES OR MORE,2676/3488,86/98,4.2544,TABORA,40,74,1,73,0,0,73,1,6,9,24,33
S4520 KWEMKABARA,CENTRE WITH 40 CANDIDATES OR MORE,2741/3488,116/188,4.2679,TANGA,102,132,2,130,0,0,130,0,6,7,89,28
S4521 MLINGA,CENTRE WITH LESS THAN 40 CANDIDATES,1119/1371,56/92,4.3052,TANGA,20,24,0,24,0,0,24,0,0,1,19,4
S4522 BWEMBWERA,CENTRE WITH LESS THAN 40 CANDIDATES,676/1371,19/92,4.0155,TANGA,26,37,0,37,0,0,37,2,3,4,17,11
S4523 MKULUMUZI,CENTRE WITH 40 CANDIDATES OR MORE,2150/3488,79/188,4.1337,TANGA,61,83,2,81,0,0,81,2,3,10,46,20
S4524 KILOLI,CENTRE WITH LESS THAN 40 CANDIDATES,622/1371,50/75,3.9690,TABORA,15,18,1,17,0,0,17,0,2,1,12,2
S4525 SIGILI,CENTRE WITH LESS THAN 40 CANDIDATES,533/1371,37/75,3.9151,TABORA,15,16,0,16,0,0,16,0,1,3,11,1
S4526 KASELA,CENTRE WITH LESS THAN 40 CANDIDATES,215/1371,6/75,3.4877,TABORA,24,24,0,24,0,0,24,0,4,8,12,0
S4527 ITILO,CENTRE WITH LESS THAN 40 CANDIDATES,459/1371,32/75,3.8571,TABORA,18,23,2,21,0,0,21,0,2,5,11,3
S4528 MUHUGI,CENTRE WITH LESS THAN 40 CANDIDATES,646/1371,51/75,3.9879,TABORA,13,19,2,17,0,0,17,0,2,2,9,4
S4529 ISAGENHE,CENTRE WITH LESS THAN 40 CANDIDATES,751/1371,57/75,4.0616,TABORA,11,17,3,14,0,0,14,0,1,3,7,3
S4530 MLUNGUI,CENTRE WITH 40 CANDIDATES OR MORE,3434/3488,176/188,4.5609,TANGA,19,42,0,42,0,0,42,0,0,3,16,23
S4531 NEGERO,CENTRE WITH 40 CANDIDATES OR MORE,1552/3488,54/188,4.0086,TANGA,43,60,4,56,0,0,56,0,5,10,28,13
S4532 PAGWI,CENTRE WITH LESS THAN 40 CANDIDATES,1074/1371,51/92,4.2749,TANGA,28,39,1,38,0,0,38,0,0,5,23,10
S4533 SHAJI,CENTRE WITH 40 CANDIDATES OR MORE,1735/3488,37/70,4.0453,SONGWE,40,43,2,41,0,0,41,0,2,6,32,1
S4534 MUBABA,CENTRE WITH 40 CANDIDATES OR MORE,769/3488,56/200,3.7053,KAGERA,79,93,3,90,0,0,90,0,20,18,41,11
S4536 MGALO,CENTRE WITH 40 CANDIDATES OR MORE,1922/3488,75/130,4.0888,IRINGA,35,41,0,41,0,0,41,0,1,7,27,6
S4537 MGONGO,CENTRE WITH LESS THAN 40 CANDIDATES,306/1371,9/60,3.6818,SINGIDA,27,29,2,27,0,0,27,0,3,7,17,0
S4538 SISTER'S OF USHIRIKA WA NEEMA,CENTRE WITH LESS THAN 40 CANDIDATES,135/1371,2/8,3.2862,KATAVI,33,33,0,33,0,0,33,3,5,13,12,0
S4539 AL HARAMYN,CENTRE WITH 40 CANDIDATES OR MORE,567/3488,16/57,3.4541,MJINI MAGHARIBI,54,55,1,54,0,0,54,0,10,25,19,0
S4540 MZAMBARAUTAKAO,CENTRE WITH LESS THAN 40 CANDIDATES,1217/1371,8/13,4.3997,KASKAZINI PEMBA,27,38,4,34,0,0,34,0,0,0,27,7
S4542 CHUNO,CENTRE WITH 40 CANDIDATES OR MORE,1186/3488,18/99,3.8971,MTWARA,72,80,2,78,0,0,78,2,5,13,52,6
S4543 BRILLIANT,CENTRE WITH 40 CANDIDATES OR MORE,418/3488,49/239,3.2156,DAR ES SALAAM,81,82,0,82,0,0,82,6,20,28,27,1
S4544 MTUTURA,CENTRE WITH LESS THAN 40 CANDIDATES,644/1371,28/74,3.9867,RUVUMA,33,37,0,37,0,0,37,0,1,11,21,4
S4545 MBWAWA,CENTRE WITH 40 CANDIDATES OR MORE,573/3488,31/115,3.4638,PWANI,57,58,0,58,0,0,58,3,12,19,23,1
S4546 UKUNE,CENTRE WITH LESS THAN 40 CANDIDATES,266/1371,6/30,3.6125,SHINYANGA,25,28,2,26,0,0,26,0,5,6,14,1
S4547 MURUGWANZA,CENTRE WITH 40 CANDIDATES OR MORE,2184/3488,135/200,4.1414,KAGERA,69,100,1,99,0,0,99,0,5,18,46,30
S4548 NZIVI,CENTRE WITH 40 CANDIDATES OR MORE,2411/3488,101/130,4.1923,IRINGA,46,58,1,57,0,0,57,0,1,5,40,11
S4549 LUGANGA,CENTRE WITH 40 CANDIDATES OR MORE,1018/3488,38/130,3.8377,IRINGA,104,121,0,121,0,0,121,2,18,22,62,17
S4550 MKATANGA,CENTRE WITH LESS THAN 40 CANDIDATES,636/1371,29/58,3.9800,KIGOMA,33,39,0,39,0,0,39,0,2,9,22,6
S4551 UWANDANI,CENTRE WITH LESS THAN 40 CANDIDATES,1289/1371,9/13,4.4807,KUSINI PEMBA,17,37,1,36,1,0,35,0,3,1,13,18
S4552 AGNES TRUST,CENTRE WITH 40 CANDIDATES OR MORE,424/3488,12/89,3.2208,NJOMBE,61,61,0,61,0,0,61,4,14,28,15,0
S4553 NJECHELE,CENTRE WITH 40 CANDIDATES OR MORE,2449/3488,163/239,4.1986,DAR ES SALAAM,51,63,0,63,0,0,63,0,1,10,40,12
S4554 HENRY GOGARTY,CENTRE WITH 40 CANDIDATES OR MORE,64/3488,5/173,2.0830,ARUSHA,119,119,0,119,0,0,119,69,42,7,1,0
S4555 GLORIOUS ACADEMY,CENTRE WITH 40 CANDIDATES OR MORE,339/3488,7/57,3.0783,MJINI MAGHARIBI,72,72,0,72,0,0,72,1,33,26,12,0
S4556 ST. CLARA,CENTRE WITH 40 CANDIDATES OR MORE,68/3488,8/270,2.0952,KILIMANJARO,131,131,0,131,0,0,131,73,46,11,1,0
S4557 KINGEGE,CENTRE WITH 40 CANDIDATES OR MORE,1184/3488,46/130,3.8970,IRINGA,49,56,4,52,0,0,52,0,4,11,34,3
S4558 BUHANDA,CENTRE WITH 40 CANDIDATES OR MORE,2111/3488,76/113,4.1278,KIGOMA,43,53,1,52,0,0,52,0,4,4,35,9
S4560 BUSAWE,CENTRE WITH 40 CANDIDATES OR MORE,2666/3488,120/157,4.2514,MARA,24,40,2,38,0,0,38,0,2,7,15,14
S4561 NYASHISHI,CENTRE WITH 40 CANDIDATES OR MORE,957/3488,67/241,3.8101,MWANZA,48,52,1,51,0,0,51,0,3,16,29,3
S4562 MWAKIPANGA,CENTRE WITH 40 CANDIDATES OR MORE,1889/3488,65/98,4.0815,TABORA,39,45,0,45,0,0,45,1,2,3,33,6
S4563 MAKANGE,CENTRE WITH 40 CANDIDATES OR MORE,1122/3488,97/239,3.8724,DAR ES SALAAM,45,48,1,47,0,0,47,0,4,10,31,2
S4564 PADRE PIO,CENTRE WITH 40 CANDIDATES OR MORE,115/3488,7/159,2.3216,MOROGORO,79,79,0,79,0,0,79,30,38,9,2,0
S4565 GILI,CENTRE WITH 40 CANDIDATES OR MORE,62/3488,8/115,2.0690,PWANI,41,41,0,41,0,0,41,19,20,2,0,0
S4567 SACRED HEART,CENTRE WITH 40 CANDIDATES OR MORE,320/3488,23/200,3.0419,KAGERA,104,105,1,104,0,0,104,9,38,34,23,0
S4568 ROYAL,CENTRE WITH LESS THAN 40 CANDIDATES,84/1371,8/46,3.0815,KILIMANJARO,30,30,0,30,0,0,30,2,12,8,8,0
S4569 ST MARIE EUGENIE,CENTRE WITH 40 CANDIDATES OR MORE,49/3488,5/270,2.0153,KILIMANJARO,79,79,0,79,0,0,79,46,32,1,0,0
S4570 MAGUNGU,CENTRE WITH LESS THAN 40 CANDIDATES,1132/1371,50/52,4.3154,MANYARA,15,25,1,24,0,0,24,0,2,0,13,9
S4571 KIJUNGU,CENTRE WITH LESS THAN 40 CANDIDATES,742/1371,37/52,4.0561,MANYARA,12,14,0,14,0,0,14,0,2,0,10,2
S4572 IPWAGA,CENTRE WITH LESS THAN 40 CANDIDATES,43/1371,3/21,2.7718,MWANZA,37,37,0,37,0,0,37,4,18,14,1,0
S4573 UWANJA WA TAIFA,CENTRE WITH 40 CANDIDATES OR MORE,1397/3488,57/159,3.9669,MOROGORO,97,146,5,141,0,0,141,4,20,20,53,44
S4574 ITONA,CENTRE WITH 40 CANDIDATES OR MORE,1348/3488,50/130,3.9488,IRINGA,68,72,1,71,0,0,71,1,4,13,50,3
S4575 MESSA,CENTRE WITH 40 CANDIDATES OR MORE,428/3488,32/241,3.2239,MWANZA,195,197,2,195,0,0,195,12,42,81,60,0
S4576 PAROMA,CENTRE WITH 40 CANDIDATES OR MORE,634/3488,19/157,3.5707,MARA,41,45,1,44,0,0,44,1,3,19,18,3
S4577 KAMUNYONGE,CENTRE WITH 40 CANDIDATES OR MORE,2149/3488,81/157,4.1337,MARA,59,81,3,78,0,0,78,1,7,3,48,19
S4578 KIBWIGWA,CENTRE WITH 40 CANDIDATES OR MORE,2060/3488,74/113,4.1159,KIGOMA,40,55,1,54,0,0,54,0,2,14,24,14
S4579 MURUNGU,CENTRE WITH LESS THAN 40 CANDIDATES,317/1371,13/58,3.6947,KIGOMA,24,26,0,26,0,0,26,0,5,6,13,2
S4580 MAMA KARI,CENTRE WITH 40 CANDIDATES OR MORE,1599/3488,72/98,4.0179,MANYARA,77,106,9,97,0,0,97,2,10,15,50,20
S4581 KICHANGA,CENTRE WITH 40 CANDIDATES OR MORE,1671/3488,116/239,4.0318,DAR ES SALAAM,229,285,2,283,0,0,283,3,24,45,157,54
S4582 LUNDAMATWE,CENTRE WITH 40 CANDIDATES OR MORE,2135/3488,93/130,4.1320,IRINGA,59,83,3,80,0,0,80,0,5,15,39,21
S4583 MURUVYAGIRA,CENTRE WITH LESS THAN 40 CANDIDATES,187/1371,12/41,3.4127,KAGERA,17,17,0,17,0,0,17,1,5,2,9,0
S4584 GASPAR DEL BUFFALO,CENTRE WITH LESS THAN 40 CANDIDATES,395/1371,26/62,3.7941,DAR ES SALAAM,33,34,0,34,0,0,34,0,4,7,22,1
S4585 GWILI,CENTRE WITH LESS THAN 40 CANDIDATES,502/1371,13/37,3.8964,MBEYA,21,24,0,24,0,0,24,0,4,3,14,3
S4587 CHAMBO,CENTRE WITH LESS THAN 40 CANDIDATES,620/1371,19/30,3.9673,SHINYANGA,30,36,2,34,0,0,34,0,3,7,20,4
S4590 NAKATUNGURU,CENTRE WITH 40 CANDIDATES OR MORE,2088/3488,153/241,4.1214,MWANZA,73,99,9,90,0,0,90,0,8,6,59,17
S4591 KIMWA GIRLS ISLAMIC SEMINARY,CENTRE WITH LESS THAN 40 CANDIDATES,168/1371,7/58,3.3685,KIGOMA,21,22,1,21,0,0,21,0,4,11,6,0
